,Year,Month,Day,Close
552,1982,05,24,0.317708
553,1982,05,25,0.309896
554,1982,05,26,0.3125
555,1982,05,27,0.317708
556,1982,05,28,0.315104
557,1982,06,01,0.307292
558,1982,06,02,0.309896
559,1982,06,03,0.317708
560,1982,06,04,0.3125
561,1982,06,07,0.3125
562,1982,06,08,0.304688
563,1982,06,09,0.294271
564,1982,06,10,0.299479
565,1982,06,11,0.3125
566,1982,06,14,0.309896
567,1982,06,15,0.315104
568,1982,06,16,0.325521
569,1982,06,17,0.315104
570,1982,06,18,0.302083
571,1982,06,21,0.299479
572,1982,06,22,0.3125
573,1982,06,23,0.328125
574,1982,06,24,0.320313
575,1982,06,25,0.317708
576,1982,06,28,0.325521
577,1982,06,29,0.322917
578,1982,06,30,0.325521
579,1982,07,01,0.322917
580,1982,07,02,0.315104
581,1982,07,06,0.3125
582,1982,07,07,0.304688
583,1982,07,08,0.304688
584,1982,07,09,0.320313
585,1982,07,12,0.325521
586,1982,07,13,0.325521
587,1982,07,14,0.325521
588,1982,07,15,0.333333
589,1982,07,16,0.346354
590,1982,07,19,0.34375
591,1982,07,20,0.351563
592,1982,07,21,0.348958
593,1982,07,22,0.341146
594,1982,07,23,0.341146
595,1982,07,26,0.338542
596,1982,07,27,0.34375
597,1982,07,28,0.341146
598,1982,07,29,0.341146
599,1982,07,30,0.335938
600,1982,08,02,0.341146
601,1982,08,03,0.330729
602,1982,08,04,0.330729
603,1982,08,05,0.325521
604,1982,08,06,0.309896
605,1982,08,09,0.304688
606,1982,08,10,0.307292
607,1982,08,11,0.296875
608,1982,08,12,0.286458
609,1982,08,13,0.276042
610,1982,08,16,0.283854
611,1982,08,17,0.299479
612,1982,08,18,0.3125
613,1982,08,19,0.315104
614,1982,08,20,0.320313
615,1982,08,23,0.338542
616,1982,08,24,0.346354
617,1982,08,25,0.361979
618,1982,08,26,0.377604
619,1982,08,27,0.361979
620,1982,08,30,0.369792
621,1982,08,31,0.382813
622,1982,09,01,0.369792
623,1982,09,02,0.390625
624,1982,09,03,0.411458
625,1982,09,07,0.388021
626,1982,09,08,0.385417
627,1982,09,09,0.372396
628,1982,09,10,0.375
629,1982,09,13,0.372396
630,1982,09,14,0.369792
631,1982,09,15,0.361979
632,1982,09,16,0.359375
633,1982,09,17,0.351563
634,1982,09,20,0.351563
635,1982,09,21,0.359375
636,1982,09,22,0.356771
637,1982,09,23,0.359375
638,1982,09,24,0.364583
639,1982,09,27,0.361979
640,1982,09,28,0.354167
641,1982,09,29,0.346354
642,1982,09,30,0.341146
643,1982,10,01,0.34375
644,1982,10,04,0.34375
645,1982,10,05,0.351563
646,1982,10,06,0.367188
647,1982,10,07,0.377604
648,1982,10,08,0.376302
649,1982,10,11,0.380208
650,1982,10,12,0.382813
651,1982,10,13,0.393229
652,1982,10,14,0.382813
653,1982,10,15,0.382813
654,1982,10,18,0.391927
655,1982,10,19,0.390625
656,1982,10,20,0.395833
